Slang,Meaning,pagerank_score
im,I am,0.008786107
wanna,Want to,0.001927572
lmao,laughing my ass off,0.001688417
gonna,going to,0.001609687
bruh,brother,0.001343182
idk,I don’t know,0.001333712
bro,brother,0.001115431
omg,Oh my god,0.001103983
nah,No,0.00097847
yo,Informal greeting,0.000955157
tho,Though,0.00094719
vc,Voice chat / video call,0.000939111
pfp,Profile picture,0.000902513
ya,Yes,0.000739833
pls,Please,0.000731336
gn,Good night,0.000709785
yall,You all,0.000682658
huh,Confused expression,0.000674779
ah,Realization of something,0.000674055
uh,Filler word for thinking,0.000672973
hmm,Filler word,0.000622148
oof,Expression when something bad happens,0.00062052
nitro,Discord premium,0.000618182
tf,The fuck,0.000589944
ye,Yes,0.000582057
imma,I'm going to,0.000519969
yn,You know,0.000486468
cuz,Because,0.000467359
ive,I have,0.000467305
afk,Away from keyboard,0.000464092
ik,I know,0.000435826
gotta,Got to,0.000431966
uwu,Expression representing a cute face*,0.000418524
simp,Simpleton,0.000403123
ty,Thank you,0.000402404
lil,Little,0.00038381
btw,By the way,0.000379339
hmmm,Expression when thinking,0.000379194
ppl,People,0.000353171
hiii,Informal greeting,0.000347842
dms,Direct messages,0.000326614
ima,I'm going to,0.000322847
woah,Expression when surprised,0.000317208
lvl,Level,0.000315375
eh,Just saying 'eh' ,0.00030739
hai,Informal greeting,0.000306813
gg,Good game,0.000306392
skrrt,,0.000297265
um,For when you don’t know what to say,0.00029337
wat,What,0.000287427
hii,Informal greeting,0.000286632
nvm,Nevermind,0.000282638
smh,Shake my head (in disappointment),0.000279087
ily,I love you,0.000277795
oop,Expression when you make a mistake,0.000277016
jk,Just kidding,0.000270446
ooo,Expression when something interesting happens,0.000265837
ln,Last night,0.000264804
wdym,What do you mean?,0.000263655
yay,Expression when you're excited and happy,0.000259766
cry,Refers to either crying from sadness or from laughter,0.000256734
aight,Alright,0.000255698
cya,See you,0.000249448
mhm,Another way of saying 'hmm',0.000245953
died,Not living OR dying from laughter,0.000240652
nope,No,0.000240582
minecraft,A popular game,0.000239046
oi,An informal way to call someone. Oi <insert name>,0.000234397
lemme,Let me,0.000232347
fn,For now,0.000229077
lmfao,Laughing my fucking ass off,0.000227655
oo,Another say of saying 'ooo',0.000227228
wha,Another way of saying what,0.000226335
ikr,I know right,0.000224528
pp,Either refers to profile picture or to someone's penis,0.000224463
na,A way or saying no or nah,0.00022375
ded,"Another way of saying 'dead,' related to dying from something funny",0.000218008
nooo,No,0.000217051
wut,What,0.000215068
tbh,To be honest,0.000214764
ow,"Expression for when someone is in pain, similar to 'ouch'",0.000213794
pog,"Abbreviation for 'play of the game,' used when something great is done",0.000208872
wtf,What the fuck,0.000208257
roblox,A popular video game,0.000203265
yep,Yes,0.000201865
lol,Laughing out loud,0.000199125
uhh,Filler word for when you are unsure,0.00019873
woke,Term used for people that are extremely politically correct,0.000197209
boi,Boy,0.000195241
pics,Pictures,0.000194961
pinged,The past tense of someone who sent a ping,0.000191925
uhhh,"Filler word for when you are unsure, like 'uhh'",0.000191461
ohhh,Another way of saying 'oh',0.000190884
qt,A way of saying cutie,0.000188896
chan,Someone's name or referring to 4chan (numbers were removed from data),0.000188532
ayo,An expression when something unexpected happens. Contraction of 'Ey yo',0.000187864
