category,subcategory
ADJECTIVES,ADJ.ALL
ADJECTIVES,ADJ.PERT
ADJECTIVES,ADJ.PPL
ADVERBS,ADV.ALL
NOUNS,NOUN.ACT
NOUNS,NOUN.ANIMAL
NOUNS,NOUN.ARTIFACT
NOUNS,NOUN.ATTRIBUTE
NOUNS,NOUN.BODY
NOUNS,NOUN.COGNITION
NOUNS,NOUN.COMMUNICATION
NOUNS,NOUN.EVENT
NOUNS,NOUN.FEELING
NOUNS,NOUN.FOOD
NOUNS,NOUN.GROUP
NOUNS,NOUN.LOCATION
NOUNS,NOUN.MOTIVE
NOUNS,NOUN.OBJECT
NOUNS,NOUN.PERSON
NOUNS,NOUN.PHENOMENON
NOUNS,NOUN.PLANT
NOUNS,NOUN.POSSESSION
NOUNS,NOUN.PROCESS
NOUNS,NOUN.QUANTITY
NOUNS,NOUN.RELATION
NOUNS,NOUN.SHAPE
NOUNS,NOUN.STATE
NOUNS,NOUN.SUBSTANCE
NOUNS,NOUN.TIME
NOUNS,NOUN.TOPS
VERBS,VERB.BODY
VERBS,VERB.CHANGE
VERBS,VERB.COGNITION
VERBS,VERB.COMMUNICATION
VERBS,VERB.COMPETITION
VERBS,VERB.CONSUMPTION
VERBS,VERB.CONTACT
VERBS,VERB.CREATION
VERBS,VERB.EMOTION
VERBS,VERB.MOTION
VERBS,VERB.PERCEPTION
VERBS,VERB.POSSESSION
VERBS,VERB.SOCIAL
VERBS,VERB.STATIVE
VERBS,VERB.WEATHER
