type,pos,headword,freq_tar,freq_ref,range_tar,range_ref,likelihood,effect,lower_word,word,category,subcategory,source_file
n,,,3689422,0,736,0,53160.574,0.034,n,N,ADJECTIVES,ADJ.PERT,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,ADVERBS,ADV.ALL,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,NOUNS,NOUN.TOPS,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,NOUNS,NOUN.ARTIFACT,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,NOUNS,NOUN.BODY,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,NOUNS,NOUN.OBJECT,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,NOUNS,NOUN.PERSON,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,NOUNS,NOUN.PROCESS,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,NOUNS,NOUN.RELATION,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
n,,,3689422,0,736,0,53160.574,0.034,n,N,NOUNS,NOUN.TIME,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,ADVERBS,ADV.ALL,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,NOUNS,NOUN.RELATION,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.BODY,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.CHANGE,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.COMMUNICATION,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.COMPETITION,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.CONSUMPTION,WordNet Words & Phrases.txt
