type,pos,headword,freq_tar,freq_ref,range_tar,range_ref,likelihood,effect
i,,,11479231,0,736,0,168510.432,0.101
a,,,5719020,0,736,0,82800.833,0.052
you,,,3984891,0,736,0,57457.907,0.036
n,,,3689422,0,736,0,53160.574,0.034
the,,,3095485,0,736,0,44540.385,0.028
s,,,3091457,0,735,0,44482.006,0.028
o,,,2988740,0,735,0,42993.681,0.027
to,,,2920586,0,736,0,42006.555,0.027
it,,,2866390,0,736,0,41221.819,0.026
t,,,2807932,0,736,0,40375.595,0.026
e,,,2781181,0,734,0,39988.431,0.026
is,,,2482169,0,736,0,35664.181,0.023
u,,,2420121,0,736,0,34767.615,0.022
m,,,2061384,0,736,0,29589.138,0.019
and,,,1918460,0,736,0,27528.409,0.018
that,,,1897913,0,736,0,27232.269,0.018
my,,,1719037,0,736,0,24655.36,0.016
h,,,1660648,0,734,0,23814.667,0.015
me,,,1492351,0,735,0,21392.788,0.014
in,,,1483086,0,736,0,21259.516,0.014
what,,,1398308,0,735,0,20040.291,0.013
r,,,1377264,0,735,0,19737.724,0.013
l,,,1320801,0,735,0,18926.055,0.012
d,,,1252797,0,736,0,17948.766,0.012
y,,,1183200,0,735,0,16948.905,0.011
can,,,1150393,0,736,0,16477.697,0.011
like,,,1137753,0,735,0,16296.168,0.011
for,,,1130255,0,735,0,16188.491,0.01
of,,,1127832,0,736,0,16153.695,0.01
im,,,1099153,0,736,0,15741.881,0.01
no,,,1089017,0,736,0,15596.346,0.01
have,,,1071522,0,736,0,15345.167,0.01
are,,,1070773,0,735,0,15334.414,0.01
don,,,1044309,0,736,0,14954.504,0.01
do,,,1013548,0,736,0,14512.968,0.009
on,,,970091,0,736,0,13889.303,0.009
but,,,968414,0,736,0,13865.238,0.009
not,,,965883,0,736,0,13828.919,0.009
so,,,963981,0,736,0,13801.627,0.009
just,,,933658,0,736,0,13366.539,0.009
w,,,885471,0,735,0,12675.258,0.008
how,,,882849,0,736,0,12637.647,0.008
g,,,796198,0,735,0,11394.974,0.007
if,,,785513,0,736,0,11241.774,0.007
welcome,,,784070,0,729,0,11221.085,0.007
was,,,775386,0,735,0,11096.581,0.007
be,,,752484,0,736,0,10768.256,0.007
c,,,725707,0,735,0,10384.423,0.007
this,,,725089,0,736,0,10375.565,0.007
k,,,666716,0,734,0,9538.99,0.006
your,,,656480,0,736,0,9392.315,0.006
we,,,637323,0,735,0,9117.828,0.006
why,,,635866,0,735,0,9096.953,0.006
b,,,630882,0,736,0,9025.545,0.006
with,,,630349,0,735,0,9017.909,0.006
get,,,624800,0,736,0,8938.409,0.006
oh,,,607688,0,734,0,8693.258,0.006
good,,,604621,0,736,0,8649.321,0.006
p,,,602859,0,734,0,8624.08,0.006
he,,,593622,0,734,0,8491.76,0.006
f,,,587080,0,734,0,8398.049,0.005
its,,,579863,0,735,0,8294.672,0.005
who,,,543375,0,736,0,7772.069,0.005
yes,,,542445,0,734,0,7758.75,0.005
or,,,523062,0,734,0,7481.173,0.005
dont,,,517848,0,735,0,7406.509,0.005
they,,,516995,0,735,0,7394.294,0.005
know,,,483496,0,735,0,6914.638,0.004
one,,,469663,0,736,0,6716.592,0.004
all,,,465098,0,735,0,6651.238,0.004
hug,,,460708,0,724,0,6588.391,0.004
am,,,451938,0,734,0,6462.843,0.004
did,,,449137,0,734,0,6422.746,0.004
hi,,,442385,0,732,0,6326.092,0.004
here,,,437018,0,735,0,6249.266,0.004
when,,,433562,0,734,0,6199.796,0.004
now,,,408543,0,735,0,5841.693,0.004
at,,,405706,0,735,0,5801.089,0.004
ok,,,405439,0,735,0,5797.268,0.004
go,,,405064,0,735,0,5791.901,0.004
got,,,404171,0,736,0,5779.12,0.004
there,,,394906,0,736,0,5646.521,0.004
up,,,391107,0,735,0,5592.152,0.004
about,,,380390,0,736,0,5438.782,0.004
yeah,,,377811,0,734,0,5401.876,0.004
want,,,373366,0,736,0,5338.267,0.003
ur,,,364255,0,733,0,5207.89,0.003
she,,,346331,0,734,0,4951.418,0.003
then,,,331415,0,736,0,4738.003,0.003
v,,,331291,0,735,0,4736.229,0.003
an,,,327350,0,734,0,4679.845,0.003
people,,,326716,0,736,0,4670.774,0.003
as,,,321676,0,735,0,4598.668,0.003
too,,,321187,0,735,0,4591.672,0.003
from,,,321067,0,735,0,4589.955,0.003
guys,,,319615,0,732,0,4569.182,0.003
think,,,314073,0,735,0,4489.896,0.003
wait,,,313943,0,734,0,4488.036,0.003
server,,,309344,0,734,0,4422.243,0.003
well,,,305489,0,736,0,4367.095,0.003
see,,,301721,0,735,0,4313.192,0.003
hey,,,293683,0,735,0,4198.208,0.003
say,,,293379,0,734,0,4193.859,0.003
wanna,,,292759,0,734,0,4184.99,0.003
will,,,290694,0,736,0,4155.451,0.003
time,,,287563,0,735,0,4110.664,0.003
x,,,275190,0,730,0,3933.681,0.003
need,,,274678,0,734,0,3926.358,0.003
some,,,274254,0,735,0,3920.293,0.003
only,,,267903,0,734,0,3829.453,0.002
mean,,,266221,0,734,0,3805.395,0.002
out,,,253459,0,735,0,3622.866,0.002
re,,,252182,0,734,0,3604.603,0.002
j,,,247717,0,733,0,3540.745,0.002
love,,,244678,0,733,0,3497.282,0.002
pat,,,241904,0,695,0,3457.61,0.002
someone,,,241529,0,734,0,3452.247,0.002
gonna,,,237783,0,733,0,3398.675,0.002
back,,,235738,0,734,0,3369.429,0.002
hello,,,235588,0,735,0,3367.284,0.002
thats,,,235220,0,734,0,3362.021,0.002
didn,,,234585,0,735,0,3352.94,0.002
still,,,234555,0,734,0,3352.511,0.002
make,,,232287,0,735,0,3320.077,0.002
more,,,231139,0,736,0,3303.66,0.002
said,,,230100,0,735,0,3288.802,0.002
would,,,229713,0,734,0,3283.267,0.002
where,,,227622,0,735,0,3253.365,0.002
even,,,226417,0,735,0,3236.133,0.002
really,,,223319,0,735,0,3191.831,0.002
name,,,217186,0,730,0,3104.13,0.002
lmao,,,215485,0,733,0,3079.806,0.002
anyone,,,210212,0,732,0,3004.405,0.002
because,,,209650,0,735,0,2996.369,0.002
play,,,207583,0,732,0,2966.813,0.002
everyone,,,205865,0,732,0,2942.247,0.002
nice,,,205635,0,734,0,2938.958,0.002
has,,,202735,0,735,0,2897.492,0.002
right,,,202169,0,735,0,2889.399,0.002
been,,,199663,0,736,0,2853.566,0.002
does,,,196921,0,734,0,2814.36,0.002
sleep,,,195801,0,732,0,2798.346,0.002
should,,,192529,0,735,0,2751.562,0.002
cant,,,190494,0,734,0,2722.466,0.002
going,,,187868,0,735,0,2684.92,0.002
them,,,184995,0,734,0,2643.843,0.002
chat,,,184274,0,731,0,2633.534,0.002
also,,,183258,0,733,0,2619.008,0.002
okay,,,181839,0,733,0,2598.72,0.002
bruh,,,180687,0,731,0,2582.249,0.002
new,,,180512,0,734,0,2579.747,0.002
doing,,,178469,0,735,0,2550.538,0.002
kiss,,,177956,0,725,0,2543.204,0.002
had,,,177279,0,735,0,2533.525,0.002
her,,,174740,0,736,0,2497.225,0.002
work,,,174599,0,734,0,2495.209,0.002
idk,,,173775,0,735,0,2483.428,0.002
ll,,,172538,0,735,0,2465.743,0.002
never,,,172267,0,735,0,2461.869,0.002
being,,,170608,0,736,0,2438.15,0.002
give,,,170201,0,734,0,2432.332,0.002
same,,,167593,0,733,0,2395.046,0.002
man,,,166006,0,734,0,2372.358,0.002
bad,,,165945,0,735,0,2371.486,0.002
let,,,162438,0,734,0,2321.349,0.002
isn,,,156163,0,734,0,2231.643,0.001
much,,,155876,0,733,0,2227.54,0.001
bro,,,155418,0,730,0,2220.993,0.001
by,,,154702,0,734,0,2210.757,0.001
something,,,153782,0,735,0,2197.605,0.001
anime,,,152912,0,731,0,2185.168,0.001
him,,,152883,0,734,0,2184.753,0.001
any,,,150077,0,732,0,2144.641,0.001
were,,,149625,0,733,0,2138.179,0.001
stop,,,147727,0,732,0,2111.047,0.001
tho,,,147096,0,733,0,2102.027,0.001
sorry,,,146894,0,732,0,2099.139,0.001
day,,,146329,0,734,0,2091.063,0.001
