type,freq_tar,range_tar,likelihood,effect,word,category,subcategory
like,1137753,735,16296.168,0.011,LIKE,ADJECTIVES,ADJ.ALL
im,1099153,736,15741.881,0.01,,,
welcome,784070,729,11221.085,0.007,WELCOME,ADJECTIVES,ADJ.ALL
get,624800,736,8938.409,0.006,GET,VERBS,VERB.BODY
oh,607688,734,8693.258,0.006,OH,NOUNS,NOUN.LOCATION
good,604621,736,8649.321,0.006,GOOD,ADJECTIVES,ADJ.ALL
yes,542445,734,7758.75,0.005,YES,NOUNS,NOUN.COMMUNICATION
dont,517848,735,7406.509,0.005,,,
know,483496,735,6914.638,0.004,KNOW,VERBS,VERB.COGNITION
one,469663,736,6716.592,0.004,ONE,ADJECTIVES,ADJ.ALL
hug,460708,724,6588.391,0.004,HUG,NOUNS,NOUN.ACT
hi,442385,732,6326.092,0.004,HI,NOUNS,NOUN.COMMUNICATION
ok,405439,735,5797.268,0.004,OK,ADJECTIVES,ADJ.ALL
go,405064,735,5791.901,0.004,GO,ADJECTIVES,ADJ.ALL
got,404171,736,5779.12,0.004,,,
yeah,377811,734,5401.876,0.004,YEAH,ADVERBS,ADV.ALL
want,373366,736,5338.267,0.003,WANT,NOUNS,NOUN.FEELING
ur,364255,733,5207.89,0.003,UR,NOUNS,NOUN.LOCATION
people,326716,736,4670.774,0.003,PEOPLE,NOUNS,NOUN.GROUP
guys,319615,732,4569.182,0.003,,,
think,314073,735,4489.896,0.003,THINK,NOUNS,NOUN.COGNITION
wait,313943,734,4488.036,0.003,WAIT,NOUNS,NOUN.ACT
server,309344,734,4422.243,0.003,SERVER,NOUNS,NOUN.ARTIFACT
well,305489,736,4367.095,0.003,WELL,ADJECTIVES,ADJ.ALL
see,301721,735,4313.192,0.003,SEE,ADVERBS,ADV.ALL
hey,293683,735,4198.208,0.003,,,
say,293379,734,4193.859,0.003,SAY,NOUNS,NOUN.STATE
wanna,292759,734,4184.99,0.003,,,
time,287563,735,4110.664,0.003,TIME,NOUNS,NOUN.TOPS
need,274678,734,3926.358,0.003,NEED,NOUNS,NOUN.TOPS
mean,266221,734,3805.395,0.002,MEAN,ADJECTIVES,ADJ.ALL
love,244678,733,3497.282,0.002,LOVE,NOUNS,NOUN.ACT
pat,241904,695,3457.61,0.002,PAT,ADJECTIVES,ADJ.ALL
someone,241529,734,3452.247,0.002,SOMEONE,NOUNS,NOUN.TOPS
gonna,237783,733,3398.675,0.002,,,
back,235738,734,3369.429,0.002,BACK,ADJECTIVES,ADJ.ALL
hello,235588,735,3367.284,0.002,HELLO,NOUNS,NOUN.COMMUNICATION
thats,235220,734,3362.021,0.002,,,
still,234555,734,3352.511,0.002,STILL,ADJECTIVES,ADJ.ALL
make,232287,735,3320.077,0.002,MAKE,NOUNS,NOUN.ACT
said,230100,735,3288.802,0.002,SAID,ADJECTIVES,ADJ.ALL
would,229713,734,3283.267,0.002,,,
even,226417,735,3236.133,0.002,EVEN,ADJECTIVES,ADJ.ALL
really,223319,735,3191.831,0.002,REALLY,ADVERBS,ADV.ALL
name,217186,730,3104.13,0.002,NAME,NOUNS,NOUN.ACT
lmao,215485,733,3079.806,0.002,,,
anyone,210212,732,3004.405,0.002,,,
play,207583,732,2966.813,0.002,PLAY,NOUNS,NOUN.ACT
everyone,205865,732,2942.247,0.002,,,
nice,205635,734,2938.958,0.002,NICE,ADJECTIVES,ADJ.ALL
right,202169,735,2889.399,0.002,RIGHT,ADJECTIVES,ADJ.ALL
sleep,195801,732,2798.346,0.002,SLEEP,NOUNS,NOUN.STATE
cant,190494,734,2722.466,0.002,CANT,NOUNS,NOUN.ARTIFACT
going,187868,735,2684.92,0.002,GOING,ADJECTIVES,ADJ.ALL
chat,184274,731,2633.534,0.002,CHAT,NOUNS,NOUN.ANIMAL
also,183258,733,2619.008,0.002,ALSO,ADVERBS,ADV.ALL
okay,181839,733,2598.72,0.002,OKAY,ADJECTIVES,ADJ.ALL
bruh,180687,731,2582.249,0.002,,,
new,180512,734,2579.747,0.002,NEW,ADJECTIVES,ADJ.ALL
kiss,177956,725,2543.204,0.002,KISS,NOUNS,NOUN.ACT
work,174599,734,2495.209,0.002,WORK,NOUNS,NOUN.ACT
idk,173775,735,2483.428,0.002,,,
never,172267,735,2461.869,0.002,NEVER,ADVERBS,ADV.ALL
give,170201,734,2432.332,0.002,GIVE,NOUNS,NOUN.ATTRIBUTE
man,166006,734,2372.358,0.002,MAN,NOUNS,NOUN.ANIMAL
bad,165945,735,2371.486,0.002,BAD,ADJECTIVES,ADJ.ALL
let,162438,734,2321.349,0.002,LET,NOUNS,NOUN.ACT
much,155876,733,2227.54,0.001,MUCH,ADJECTIVES,ADJ.ALL
bro,155418,730,2220.993,0.001,,,
something,153782,735,2197.605,0.001,SOMETHING,NOUNS,NOUN.TOPS
anime,152912,731,2185.168,0.001,ANIME,NOUNS,NOUN.SUBSTANCE
stop,147727,732,2111.047,0.001,STOP,NOUNS,NOUN.ACT
tho,147096,733,2102.027,0.001,THO,NOUNS,NOUN.COMMUNICATION
sorry,146894,732,2099.139,0.001,SORRY,ADJECTIVES,ADJ.ALL
day,146329,734,2091.063,0.001,DAY,NOUNS,NOUN.PERSON
talk,145271,735,2075.939,0.001,TALK,NOUNS,NOUN.ACT
discord,142121,734,2030.91,0.001,DISCORD,NOUNS,NOUN.ACT
actually,140390,732,2006.166,0.001,ACTUALLY,ADVERBS,ADV.ALL
sure,139180,735,1988.869,0.001,SURE,ADJECTIVES,ADJ.ALL
nah,138797,731,1983.395,0.001,,,
whats,138709,731,1982.137,0.001,,,
take,137450,733,1964.14,0.001,TAKE,NOUNS,NOUN.ACT
look,135318,731,1933.664,0.001,LOOK,NOUNS,NOUN.ACT
use,133753,731,1911.294,0.001,USE,NOUNS,NOUN.ACT
feel,132871,733,1898.687,0.001,FEEL,NOUNS,NOUN.ACT
old,131461,733,1878.532,0.001,OLD,ADJECTIVES,ADJ.ALL
girl,131237,732,1875.33,0.001,GIRL,NOUNS,NOUN.PERSON
join,131129,731,1873.786,0.001,JOIN,NOUNS,NOUN.GROUP
men,129873,730,1855.833,0.001,MEN,NOUNS,NOUN.GROUP
thing,127287,733,1818.869,0.001,THING,NOUNS,NOUN.TOPS
watch,126262,733,1804.218,0.001,WATCH,NOUNS,NOUN.ACT
better,125970,735,1800.045,0.001,BETTER,ADJECTIVES,ADJ.ALL
vc,125772,729,1797.214,0.001,,,
pfp,124298,727,1776.146,0.001,,,
please,121546,732,1736.81,0.001,PLEASE,ADVERBS,ADV.ALL
didnt,120995,732,1728.934,0.001,,,
rn,120199,734,1717.557,0.001,RN,NOUNS,NOUN.PERSON
send,120102,729,1716.171,0.001,SEND,VERBS,VERB.COMMUNICATION
eli,119427,394,1706.523,0.001,,,
ban,119021,723,1700.72,0.001,BAN,NOUNS,NOUN.COMMUNICATION
ill,118110,733,1687.699,0.001,ILL,ADJECTIVES,ADJ.ALL
first,116628,732,1666.516,0.001,FIRST,ADJECTIVES,ADJ.ALL
yo,116358,730,1662.657,0.001,,,
omg,115677,731,1652.924,0.001,,,
tell,115259,734,1646.949,0.001,TELL,NOUNS,NOUN.PERSON
could,114800,732,1640.389,0.001,,,
imagine,113725,732,1625.024,0.001,IMAGINE,VERBS,VERB.COGNITION
talking,113365,734,1619.878,0.001,TALKING,ADJECTIVES,ADJ.ALL
come,113168,733,1617.063,0.001,COME,VERBS,VERB.CHANGE
best,110771,730,1582.803,0.001,BEST,ADJECTIVES,ADJ.ALL
school,110615,734,1580.573,0.001,SCHOOL,NOUNS,NOUN.ARTIFACT
friend,108951,735,1556.791,0.001,FRIEND,NOUNS,NOUN.PERSON
yall,108649,729,1552.474,0.001,,,
us,107858,731,1541.169,0.001,US,NOUNS,NOUN.LOCATION
person,106842,735,1526.648,0.001,PERSON,NOUNS,NOUN.TOPS
en,105252,729,1503.923,0.001,EN,NOUNS,NOUN.QUANTITY
nitro,105111,722,1501.908,0.001,,,
cute,105015,725,1500.536,0.001,CUTE,ADJECTIVES,ADJ.ALL
thanks,104674,733,1495.662,0.001,THANKS,NOUNS,NOUN.ACT
game,104237,728,1489.416,0.001,GAME,ADJECTIVES,ADJ.ALL
many,104092,731,1487.344,0.001,MANY,ADJECTIVES,ADJ.ALL
dm,104081,734,1487.187,0.001,DM,NOUNS,NOUN.QUANTITY
cool,103897,733,1484.557,0.001,COOL,ADJECTIVES,ADJ.ALL
help,103762,736,1482.628,0.001,HELP,NOUNS,NOUN.ACT
wow,103688,731,1481.57,0.001,WOW,NOUNS,NOUN.COMMUNICATION
always,103656,734,1481.113,0.001,ALWAYS,ADVERBS,ADV.ALL
ya,102118,731,1459.131,0.001,,,
level,102049,728,1458.145,0.001,LEVEL,ADJECTIVES,ADJ.ALL
yea,101429,732,1449.284,0.001,YEA,ADVERBS,ADV.ALL
thought,100558,734,1436.836,0.001,THOUGHT,NOUNS,NOUN.COGNITION
maybe,100508,733,1436.121,0.001,MAYBE,ADVERBS,ADV.ALL
getting,98888,733,1412.968,0.001,GETTING,NOUNS,NOUN.ACT
call,97048,731,1386.671,0.001,CALL,NOUNS,NOUN.ACT
bye,96393,730,1377.31,0.001,BYE,NOUNS,NOUN.COMMUNICATION
way,95850,733,1369.55,0.001,WAY,ADVERBS,ADV.ALL
guy,95830,732,1369.264,0.001,GUY,NOUNS,NOUN.ARTIFACT
friends,95649,733,1366.677,0.001,,,
thank,95436,732,1363.633,0.001,THANK,VERBS,VERB.COMMUNICATION
cause,95080,732,1358.545,0.001,CAUSE,NOUNS,NOUN.TOPS
today,94336,735,1347.913,0.001,TODAY,ADVERBS,ADV.ALL
pretty,93556,730,1336.765,0.001,PRETTY,ADJECTIVES,ADJ.ALL
read,93281,732,1332.835,0.001,READ,NOUNS,NOUN.COMMUNICATION
non,93078,730,1329.934,0.001,,,
life,92926,734,1327.762,0.001,LIFE,NOUNS,NOUN.TOPS
long,92675,732,1324.174,0.001,LONG,ADJECTIVES,ADJ.ALL
already,91536,732,1307.896,0.001,ALREADY,ADVERBS,ADV.ALL
made,91354,733,1305.295,0.001,MADE,ADJECTIVES,ADJ.ALL
dude,91052,730,1300.979,0.001,DUDE,NOUNS,NOUN.PERSON
ever,90670,732,1295.52,0.001,EVER,ADVERBS,ADV.ALL
remember,90486,733,1292.891,0.001,REMEMBER,VERBS,VERB.COGNITION
fine,90116,733,1287.603,0.001,FINE,ADJECTIVES,ADJ.ALL
change,89843,730,1283.701,0.001,CHANGE,NOUNS,NOUN.ACT
ask,89764,733,1282.572,0.001,ASK,VERBS,VERB.COMMUNICATION
bot,88516,728,1264.737,0.001,BOT,NOUNS,NOUN.ANIMAL
kinda,88498,732,1264.48,0.001,KINDA,ADVERBS,ADV.ALL
itn,88007,733,1257.463,0.001,,,
mod,87912,724,1256.105,0.001,MOD,ADJECTIVES,ADJ.ALL
role,87425,727,1249.145,0.001,ROLE,NOUNS,NOUN.ACT
big,87263,730,1246.83,0.001,BIG,ADJECTIVES,ADJ.ALL
ping,87246,731,1246.587,0.001,PING,NOUNS,NOUN.EVENT
stay,87212,732,1246.101,0.001,STAY,NOUNS,NOUN.ACT
try,86698,733,1238.756,0.001,TRY,NOUNS,NOUN.ACT
eat,86675,731,1238.427,0.001,EAT,VERBS,VERB.CHANGE
god,86346,731,1233.725,0.001,GOD,NOUNS,NOUN.ARTIFACT
sad,86286,734,1232.868,0.001,SAD,ADJECTIVES,ADJ.ALL
pls,86143,729,1230.824,0.001,,,
ah,86048,731,1229.466,0.001,,,
fun,85705,731,1224.565,0.001,FUN,ADJECTIVES,ADJ.ALL
owo,83639,721,1195.04,0.001,,,
aubrey,83599,68,1194.468,0.001,,,
tn,83363,733,1191.095,0.001,TN,NOUNS,NOUN.LOCATION
hope,83146,733,1187.994,0.001,HOPE,NOUNS,NOUN.ATTRIBUTE
saying,82871,733,1184.064,0.001,SAYING,NOUNS,NOUN.COMMUNICATION
huh,82670,728,1181.192,0.001,,,
probably,82656,733,1180.992,0.001,PROBABLY,ADVERBS,ADV.ALL
cuddle,82503,666,1178.805,0.001,CUDDLE,NOUNS,NOUN.ACT
